marker.index	class1	class2	class3	class4	class5	class6	class7
2	1.68:1.82	2:18	1.02:0.459	2.08:18	0.061	0.176	6.65:2.19
27	0.605	0.47	0.667	29.1:12.1	0.0528	0.542	7.31:3.47
61	12.8:2.68	9.35:1.75	19.4:4.06	6.28:7.06	8.44:20.4	21.1:3.48	6.69:4.01
63	4.71:2.49	13.5:2.17	55.3:8.53	0.906	31.3:3.8	5.46:3.17	15:3.3
75	17.3:12.1	31.5:20.5	35.1:23.9	40.2:15.4	5.61:0.779	15:12.7	206:108
84	10.8:3.08	59.3:11.4	54.9:7.86	0.948	28.5:3.72	14.6:3.86	19.8:2.77
88	7.4:2.02	23.6:3.75	19.7:2.16	38.9:1.71	65.1:3.94	10.3:2.12	32:2.04
97	16.5:5.14	8.98:3.53	32.7:6.03	36.1:1.98	18.8:1.65	22.3:6.23	23.3:2.35
108	17.8:4.03	36.2:5.09	67.5:9.17	26:0.929	14.8:0.857	17.6:4.19	62:6.95
216	17.9:6.17	40.5:6.8	63.6:17	0.933	34.8:2.29	45.2:13.3	12.7:1.33
